sample_id,image,text,label,cleaned_text
2914,2914.jpg,2914.txt,negative,Not so great moments in Canadian History with Stephen Harper #elxn2015
14261,14261.jpg,14261.txt,negative,possible plot twist? poor behind. #ArtStudioProblems #Procrastination
2618,2618.jpg,2618.txt,negative,This wee guy didn't pee on my porch. AFAIK. #peegate #cdnpoli #elxn42
10484,10484.jpg,10484.txt,positive,"Oh, hi . Can't wait to see the #ChefinyourEar premiere tn on #FoodNetworkCanada #shawnanigans"
16731,16731.jpg,16731.txt,negative,"Station Eleven is a cult favourite but The Last Hockey Game is about, well, of course, hockey. #Toronto"
13243,13243.jpg,13243.txt,negative,So the deck just fell off this house #timstottbachelorparty
3488,3488.jpg,3488.txt,negative,"Jason Kenny Redefines """"deficit"""" #elxn42"
14238,14238.jpg,14238.txt,positive,Thank you 2015 #hostedbuyers #iwshow #closingparty
8055,8055.jpg,8055.txt,positive,make sure you sleep with your favourite on #NationalDogDay
3643,3643.jpg,3643.txt,positive,"Liberals to hold press conference tomorrow on Thomas Mulcair, generally. #cdnpoli #elxn42"
12355,12355.jpg,12355.txt,positive,This season is far from over. Congrats to on the goal. A very solid performance from #FCEd! #yeg
22614,22614.jpg,22614.txt,negative,ASI's Bell Site dog burial subject of new publication: #HistoricalArch #Osteoarch #Zooarch
20903,20903.jpg,20903.txt,positive,#SelfieForNash Smilin'
10955,10955.jpg,10955.txt,negative,#mexico leaders and #realdonaldtrump are smart.. while #canada and #america leaders are dumb?
14624,14624.jpg,14624.txt,positive,Watching this #cocktail artform fills my soul #savoy #guestbartender in #yyc
10673,10673.jpg,10673.txt,negative,#AmberAlert RT! SHARE at #Canada #news #abduction #FindHailey
10449,10449.jpg,10449.txt,positive,Awesome sock monkeys! #halifax #canada #maritimes #novascotia #usa
18845,18845.jpg,18845.txt,positive,"Hey #YYC, we're on our last keg of #MoreMoney #ImperialIPA so come get some while it's still around!"
22163,22163.jpg,22163.txt,positive,oh. ok.
9034,9034.jpg,9034.txt,negative,Me right now because it's 8am and I'm up waiting 4 #5SOSonGMA #ShesKindaHotVMA
8596,8596.jpg,8596.txt,negative,where are all my fellow Hayley's #ShesKindaHotVMA
4913,4913.jpg,4913.txt,positive,Master director and overall incredible human being Patricio Guzmán returns to w/ THE PEARL BUTTON. #TIFF15
5529,5529.jpg,5529.txt,positive,Enjoying game with my beautiful Ella. We're fortunate to live in this city #letsgobluejays
11777,11777.jpg,11777.txt,positive,. so both sidewalks are closed at Jasper and 122. What now? #yegwalk #yegcc #yeghatespeople
5223,5223.jpg,5223.txt,positive,Barenaked Ladies are legitimately the forever indie kings of the Toronto music scene. #tiff15 #fmh
3203,3203.jpg,3203.txt,negative,. on economy: balance the budget. Small recession doesnt justify plan for 3 yrs of deficits #cdnpoli #elxn42
14097,14097.jpg,14097.txt,positive,Having fun friends at a Spice Chica Party! ! #thespicechica #party #bbqlife #chimichurri #yyc
9280,9280.jpg,9280.txt,positive,RT if you truly are a 5SOSFAM #ShesKindaHotVMA
12428,12428.jpg,12428.txt,positive,Hamilton says thank you to the great Ang Mosca as retire #68! #HamOnt
3660,3660.jpg,3660.txt,positive,2 mnths countdown to #elxn42 ..We are ready! Are you? come join Team for #RealChange in #WDale #cdnpoli
3661,3661.jpg,3661.txt,positive,Great night out door knocking in Silverado! Very friendly and looking for #RealChange #YYCMidnapore #elxn42
22734,22734.jpg,22734.txt,positive,happy birthday to this beauty??????hope you have a great day! love and miss u??
20148,20148.jpg,20148.txt,negative,Here's a photo of that pursuit of car through fatal crash scene. #ottcity #ottnews #Ottawa
5883,5883.jpg,5883.txt,negative,Thrilled to have been the opening act for this guy #hamilton #bluejays #mlb
14461,14461.jpg,14461.txt,positive,His voice!(& his beard!) Love him most as the professor in THE BISHOP'S WIFE #SummerUnderTheStars #TCMParty
9684,9684.jpg,9684.txt,negative,"#cdnpoli The skinny bear the """"Harper is killing the polar bears"""" crowd is circulating. Not even CDN. #morelies"
10495,10495.jpg,10495.txt,negative,"""""Forest City'? tree root damage at 1 site where #CanadaPost imposed group #mailbox to cut #door2door mail in #LndOnt"
2649,2649.jpg,2649.txt,negative,OUCH! Painful to see #communityhealthcentre as backdrop for . #elxn42
5154,5154.jpg,5154.txt,positive,"I'm all the way at the back, but I'm in a cinema w/ Jonnie To on stage so colour me stoked af. #TIFF15"
15366,15366.jpg,15366.txt,positive,Tiff wasn't the only hot event in the city. Great people and food #Toronto #food #goodeats
3157,3157.jpg,3157.txt,negative,Is #LyingPieceOfShit trending yet? Just asking. . . #PolCan #CDNpoli #CanPoli #Harper #elxn42 #elxn2015
8767,8767.jpg,8767.txt,positive,#ShesKindaHotVMA I really would
14317,14317.jpg,14317.txt,negative,Harvesting #Baby parts against the #law? when will the madness end? #PPSellsBabyParts #tcot
3147,3147.jpg,3147.txt,positive,TOMORROW! #BlackVotesMatter Planning & Strategy Session in #Halifax: #NSpoli #canlab #elxn42
5435,5435.jpg,5435.txt,positive,Ur pano goals #cometogether #shareacokewithjays #bluejays ????
15047,15047.jpg,15047.txt,positive,"This #Hospitality #job might be a great fit for you: Baker - Night - #parttime #Depew, NY"
2884,2884.jpg,2884.txt,negative,Women’s issues debate called off after Mulcair pulls out #CNDpoli #Elxn42
9777,9777.jpg,9777.txt,positive,Team Iqra representing at the rally in Peel Region. #cdnpoli #TeamTrudeau #Mississauga #teamiqra
18300,18300.jpg,18300.txt,negative,This bitch on snapchat is getting bitchy because I posted some of my Concert and this was my response #OTRAMontreal
21135,21135.jpg,21135.txt,negative,When someone's curling the bench bar and its chest day ...
12871,12871.jpg,12871.txt,positive,Evening sun over Cootes Paradise #HamOnt
19253,19253.jpg,19253.txt,negative,Take care if walking or biking in Elliston! Sinkholes! #yycbike #yycwalk
4041,4041.jpg,4041.txt,positive,"We're #hiring! Click to apply: Transport Driver (Tanker Driver) - #Job #PolandSpring, ME"
9400,9400.jpg,9400.txt,negative,Me after listening to #jetblackheart #ShesKindaHotEP #ShesKindaHotVMA #SoundsGoodFeelsGood
16146,16146.jpg,16146.txt,negative,No #pain no #gain! ???? #sunburn from #toronto! #toughmudder #toughmuddertoronto #muddernation #burnt #fun
2625,2625.jpg,2625.txt,negative,Saw this walking about today. Tories be feeling the love in #yyt! #StopHarper #elxn42 #cdnpoli #nlpoli
18729,18729.jpg,18729.txt,positive,thx for capturing the spirit of a sport we love #paddlesupYYC
16846,16846.jpg,16846.txt,positive,Oh yeahhhhhhh!!!! #freedom #firstdayofschool #torontolife #toronto
8782,8782.jpg,8782.txt,negative,THIS IS NOT OKAY #ShesKindaHotVMA
3875,3875.jpg,3875.txt,positive,"Supplemental Health Care #Nursing #Job: Med Surg / Telemetry /... (#Cooperstown, NY)"
15428,15428.jpg,15428.txt,negative,Visiting #Toronto CN Tower
12121,12121.jpg,12121.txt,negative,Here we are #NAIT! #yegtransit
14809,14809.jpg,14809.txt,negative,#Odal #Rune by at #AlbanyModernBodyArt. #TragicEmpire #DowntownAlbany #AlbanyNY
6810,6810.jpg,6810.txt,positive,Thanks for the good times Seattle! We will be back. #breakmusic
15593,15593.jpg,15593.txt,negative,What an eye catching #advert at Queen/Bay! #exhibits #ROM #museums #Pompeii #Toronto
21755,21755.jpg,21755.txt,negative,lies. Just tell
21621,21621.jpg,21621.txt,negative,Wow.. is all I can say.
15975,15975.jpg,15975.txt,positive,We're all setup at #ImportFest with two awesome #Subaru builds in our booth! #CarShow #Toronto #TunerScene
10143,10143.jpg,10143.txt,negative,Of course failed PM Harper uses the refugee crisis to push for more bombs. #neocon #CDNPOLI #elexn42
11577,11577.jpg,11577.txt,negative,is El Busy! #yeg #tequila
8733,8733.jpg,8733.txt,negative,when you just slowly go in for the nut grab.. #ShesKindaHotVMA
21179,21179.jpg,21179.txt,positive,Do you or someone you love use Medical Oxygen? Follow these important safety tips! #safetytip
2683,2683.jpg,2683.txt,negative,Bombing campaigns turn innocents into refugees. Canadians send humanitarian message to . #cdnpoli #elxn42
22547,22547.jpg,22547.txt,negative,What this fool really thinks. #TWiBNation #TWiB #BlackLivesMatter #BLM
18223,18223.jpg,18223.txt,negative,The 18th Century Village Under The Turcot Interchange Will Be Destroyed #montreal #quebec
16501,16501.jpg,16501.txt,negative,From my son:Is there anyone out there in the mist? #thefogtoronto #viewfromthe29thfloor #foggydays #stevenkingthemist
20257,20257.jpg,20257.txt,positive,How beautiful is our capital? #myOttawa #lastdaysofsummer #summerstrolls
20517,20517.jpg,20517.txt,positive,We have some visitors come and see for yourself. #MMCHEO2015 #Ottawa #MyOttawa
12766,12766.jpg,12766.txt,negative,Thanks to whoever it was that felt the need to dump paint all over the windshield of the CBC Hamilton truck. #HamOnt
7539,7539.jpg,7539.txt,negative,The key to #Election2016 victory? find out what folks want and give it to them #gop #tcot #2A
19852,19852.jpg,19852.txt,positive,Tim and I paddle the Shredder on the Ottawa #GoPro #Ottawa #rafting
13476,13476.jpg,13476.txt,negative,Missing #Toronto regularly now that this cityscape by my cousin O lives in my workspace #art
22602,22602.jpg,22602.txt,negative,when he sends u this ??????????
11855,11855.jpg,11855.txt,negative,the way they did in this location #yeg #yegcc #infill not a tree left standing
9301,9301.jpg,9301.txt,positive,Please keep voting #ShesKindaHotVMA
22736,22736.jpg,22736.txt,negative,my phone has no chill
13764,13764.jpg,13764.txt,positive,Happy #StarTrekDay ! 49 Years! (9/8/66 - 9/8/15)
4555,4555.jpg,4555.txt,positive,We're #hiring! Click to apply: IT Business Analyst – European IT Sales... - #IT #Kelloggs
17885,17885.jpg,17885.txt,positive,"#Cafe_On_54th #Calgary_Trail_North #Edmonton Tasty food, Really nice people"
15914,15914.jpg,15914.txt,positive,Before & after - Haircut & beard trim by #textur #leslieville #toronto #bearded #beardedgentlemen
9711,9711.jpg,9711.txt,negative,#cdnpoli #murica #EU #Ukraine is drowning under propaganda - near death #cheaters #lies #politicians
10867,10867.jpg,10867.txt,negative,If abortion is a settled issue in #Canada then why people get upset with images of abortion? #GenerationTrudeau #LPC
18109,18109.jpg,18109.txt,positive,Today ???? #botabota #spasurleau #montreal
22869,22869.jpg,22869.txt,negative,When you get paid tomorrow and you already broke
14562,14562.jpg,14562.txt,positive,New Social Media & Digital Marketing team - Look out for more exciting updates! #RAIM #fintech #startups
7803,7803.jpg,7803.txt,positive,"Here's to all the dogs today! Woof, woof. #NationalDogDay ??"
3089,3089.jpg,3089.txt,negative,"So the flower says, """"I told you I would grow better with bullshit as fertilizer!"""" #cdnpoli #elxn42"
14596,14596.jpg,14596.txt,negative,#PicsArt #sopranopurses in stock
6090,6090.jpg,6090.txt,positive,"See our latest #Buffalo, NY #job and click to apply: Registered Nurse / RN - #Nursing"
21940,21940.jpg,21940.txt,negative,Pls love the skin your in embrace it it took me having a child to learn that this is crazy though
4634,4634.jpg,4634.txt,positive,Dog at the red carpet #TIFF15 #TIFF40 #TIFF24 #dog #RedCarpet
8790,8790.jpg,8790.txt,negative,"DO IT FOR LUKES """"LIL"""" PEEPER #ShesKindaHotVMA"
13314,13314.jpg,13314.txt,negative,"“: Paul #Cezanne died a lonely death on October 22, 1906 after contracting pneumonia. #art"
8675,8675.jpg,8675.txt,negative,#ShesKindaHotVMA LETS FKN PUT THIS SHIT IN ACTION
13573,13573.jpg,13573.txt,negative,Lizzy digs the Z garage and in #Detroit #art #streetart
11756,11756.jpg,11756.txt,negative,Do you like pretty graphs? Look away. #Oil's not recovering like it did last time. :( #yeg
16035,16035.jpg,16035.txt,positive,The Summer Series Bootcamp fueled by Funded by #GetFitInTheSix #Toronto #StanleyPark
4681,4681.jpg,4681.txt,negative,This. #TIFF15
15616,15616.jpg,15616.txt,positive,Come say hi: we're now open at #FrontStreetFoods in front of ! #vegan #gf #Toronto
9775,9775.jpg,9775.txt,negative,In case you STILL need to have it explained #cdnpoli #polqc
16962,16962.jpg,16962.txt,positive,#ROWYSOToronto I'm wearing this to ROWYSO so if you see me say hi ????
20162,20162.jpg,20162.txt,positive,BBQ Steak Skewers with Chipotle Olive Oil and Dark Chocolate Balsamic #Recipes #bbqlife #ottawa
10408,10408.jpg,10408.txt,negative,If abortion is a settled issue in #Canada than why people get upset with images of abortion? #Unifor #CUPE #OECTA
11732,11732.jpg,11732.txt,positive,Shout-out and a HUGE THANK YOU to who has supported #DropZoneYEG for the past 10 years! #YEG #Drop4aCause
22630,22630.jpg,22630.txt,negative,"Rip mrs Forti, one of my biggest inspirations this is such a loss for everyone who knew you"
13802,13802.jpg,13802.txt,negative,Dave Granlund nails the #NRA #GOP #TeaParty #gunviolence insanity...
22833,22833.jpg,22833.txt,negative,"""""I don't care how you feel"""" """"That's too good for you,you don't deserve that"""" """"You're stressing me out"""" #ChildAbuse"
6915,6915.jpg,6915.txt,positive,Fri! Marc & Nic @ Van Gogh's Ear #hblposters #GuelphOnMusic
13501,13501.jpg,13501.txt,positive,"Thank you B.A Consulting Group for the pics! #Corporate #customframing, call 416.463.7263. #framesTO #art #framesTO"
8512,8512.jpg,8512.txt,positive,Happy #NationalDogDay to my babies
18744,18744.jpg,18744.txt,negative,"look at the progress, with final being revealed Sept 25th!!! #Paintinghope in #yyc"
3231,3231.jpg,3231.txt,positive,Proud to stand with #TeamTrudeau colleagues for affordable housing #RealChange #lpc #elxn42
12740,12740.jpg,12740.txt,positive,It's Tuesday! Shake your tail feathers! #HamOnt #photography #birdwatching
5045,5045.jpg,5045.txt,positive,Rachel McAdams is so tardy for the see my knickers red carpet trend.Futile attempt to sex her up by stylist #TIFF15
13653,13653.jpg,13653.txt,negative,R.I.P #HUMANITY #HumanityWashedAshore #heartbroken and in #tears May Allah grant these innocent souls paradise
3185,3185.jpg,3185.txt,positive,Calling on all political parties in these Federal #elxn42 to prioritize student issues #yourunionyourvoice #cfsfcee
7855,7855.jpg,7855.txt,positive,"Tala, the very best dog there ever was or will be. Because it's #NationalDogDay"
22115,22115.jpg,22115.txt,positive,????! Love him??
3341,3341.jpg,3341.txt,negative,Outrageous abuse of power: ‘F*** Harper’ sign results in $543 ticket #elxn42 #cdnpoli
5933,5933.jpg,5933.txt,negative,Let's Go Blue Jays! #TDTuesday #BlueJays
12938,12938.jpg,12938.txt,negative,Construction continues and may cause delays around Eastgate and Mohawk College. #HamOnt #HSR
10112,10112.jpg,10112.txt,positive,'It's Not Climate Change -- It's EVERYTHING Change' #cdnpoli #auspol #climatechange
4541,4541.jpg,4541.txt,positive,"We're #hiring! Click to apply: Registered Nurse IMMEDIATE HIRE - #Nursing #Detroit, MI"
14234,14234.jpg,14234.txt,negative,#mrsbartclass Kim Jon-Un / Scarface ?
12155,12155.jpg,12155.txt,positive,Fall bloom Edmonton #yegfall #sunflowers #compostpower #yegsummer #pumpkin
21028,21028.jpg,21028.txt,positive,#SelfieForNash Nash I love you~ayla??
21387,21387.jpg,21387.txt,positive,Hi my name is kaitlyn and I am addicted to Badlands
22878,22878.jpg,22878.txt,positive,Bitches love brunch feat:
22190,22190.jpg,22190.txt,negative,when bae breaks up with you
8058,8058.jpg,8058.txt,positive,My love bug ???? #NationalDogDay #django
6977,6977.jpg,6977.txt,negative,It's #BIGSPLIFF #fryday #ReggaeMusic all eve long ???? $5 7pm Bring ur Budz ???? #kensingtonmarket #Toronto
18666,18666.jpg,18666.txt,positive,I'm going to carry a banner. Oh and here is a spaceman. #yycpride #yyc
3962,3962.jpg,3962.txt,positive,"We're #hiring! Click to apply: Social Worker II - #SocialSciences #Edmonton, AB #Job"
8205,8205.jpg,8205.txt,positive,"Happy #NationalDogDay !! These aren't our dogs, but we wish they were"
16047,16047.jpg,16047.txt,positive,. Roughly 100 guests + 48 hours = 1 Guinness World Record!!! #longestwebcast #Toronto #Canadiantalent
21128,21128.jpg,21128.txt,negative,Huh? 6am BIG truck arrives. Loud motor. off. Parked. 6:30am On. Turns around ... Beep beep beep Leaves. Huh??
19427,19427.jpg,19427.txt,positive,#winner #yycmoms #yyc #cookielovers makes the BEST sugar cookies
2706,2706.jpg,2706.txt,negative,"DISCLAIMER: THERE ARE NO SECOND CLASS CITIZENS, DURING AN ELECTION CAMPAIGN. OFFER EXPIRES 10/19/15 #cdnpoli #elxn42"
9662,9662.jpg,9662.txt,negative,I'm sure this is how Calum felt when Michael figured out how to text with siri #ShesKindaHotVMA
3558,3558.jpg,3558.txt,negative,This brand fitted you better!!!! Please leave Canada to the real canadians #elxn42 #polcan Please GO :-)
13146,13146.jpg,13146.txt,positive,Welcome back with in the #HamOnt #westfest2015
9781,9781.jpg,9781.txt,negative,"Harper's security detail guarding the Royal Closet. Seriously, unfathomable, this was His security in NB! #cdnpoli"
21852,21852.jpg,21852.txt,positive,100 days till christmas - or is 99?
15421,15421.jpg,15421.txt,negative,Just hopped into bed #pissed #Toronto
16802,16802.jpg,16802.txt,negative,"Who will take home the ? Past winners include: The Wars, Consolation, Lady Oracle #Toronto"
12948,12948.jpg,12948.txt,positive,"""""Seems legit."""" #HamOnt #OnlyinHamilton"
12051,12051.jpg,12051.txt,negative,Walking alone at 11pm was a nerve cracking ?? #yeg
14784,14784.jpg,14784.txt,positive,G0od morning. RT via Illustration Kim Ji-Hyuck ( Hanuol ) #art #painting
22692,22692.jpg,22692.txt,positive,"Very Interesting, Thanks for Sharing. Thumbs Up!"
10216,10216.jpg,10216.txt,positive,Happy Labour Day! Oh Canada! #Ticats #argos #hamont #canada with
10820,10820.jpg,10820.txt,positive,My friend's ultimate tattooed ode to and that game. #Canada
10690,10690.jpg,10690.txt,positive,These guys are just as hot in person... maybe even moreso. Jesse & Gino at Wanuskewin. #AmazingRaceCanada #Crew
12383,12383.jpg,12383.txt,negative,It's West Nile Virus season. Advice from expert on how to stay protected. #HamOnt
2937,2937.jpg,2937.txt,positive,"Key dates to watch for in #elxn42, via : #cdnpoli"
13485,13485.jpg,13485.txt,negative,#VanOpen #mens #tennis #AUS John-Patrick Smith and #RUS Karen Khachanov #quarterfinal match is just underway
8991,8991.jpg,8991.txt,negative,VOTE FOR SASSY LUKE GUYS COME ON #ShesKindaHotVMA
10655,10655.jpg,10655.txt,negative,#OnSet of 2015 #IFCO #DogmeChallenge filmed w #Bolex #Camera by #DenizBerkin. Screening TBA #canada #actor #classic
11129,11129.jpg,11129.txt,positive,Gathering Place. #CanadaGeese #birding #farming #photography #NatureNuts
9994,9994.jpg,9994.txt,negative,Mulcair talks about defeating Bill C51 #TM4PM #cdnpoli
12172,12172.jpg,12172.txt,negative,"""""Nailed it."""" - Guy Whose Job It Is To Create This Asphalt Driveway (...probably) #yeg"
9893,9893.jpg,9893.txt,negative,Western Canada burns so #Harper #Clark double down on #FRACKING &tripling #Tarsands expansion #ClimateChange #cdnpoli
10510,10510.jpg,10510.txt,positive,"Good morning, St. John's, NL. #Canada"
11275,11275.jpg,11275.txt,negative,{} Well if you're gonna park your car in the cart corral then this will happen #YEG
5625,5625.jpg,5625.txt,positive,That's how it's done! #BlueJays score a run without a hit - way to steal those bases ! #baseball #jays
20859,20859.jpg,20859.txt,negative,Don't like this but #SelfieForNash ????
3553,3553.jpg,3553.txt,negative,"1.9 billion dollar surplus.. This based on the money you took from EI, Veterans & Immigration?? #elxn42 #Harperman"
15387,15387.jpg,15387.txt,negative,Me af #ontheroadagaintoronto
3400,3400.jpg,3400.txt,negative,“: . mentioned his $40M number for Adscam. Gomery actually found: Not $40M. #cdnpoli #elxn42
12304,12304.jpg,12304.txt,negative,"EPS Homicide Section staff Sgt. Bill Clark says latest victim Shawn Richard was known to police, dealt drugs. #yeg"
17618,17618.jpg,17618.txt,positive,Get your day started Paleo Fitness Nutrition Style! #glutenfree #vancouver
7226,7226.jpg,7226.txt,negative,retweet bc u should #DragMeDownMusicVideoIsOut #MTVHottest One Direction
9913,9913.jpg,9913.txt,negative,#KinderMorgan never replanted the trees they said they would & scrubbed the promise to from website #bcpoli #cdnpoli
22548,22548.jpg,22548.txt,positive,"""""As you grow older, you realize it becomes less important to have more friends and more important to have real ones"""""
9759,9759.jpg,9759.txt,negative,Sick of hearing say he's courageous to tax CDN wealth creators THIS is COURAGE Justin #cdnpoli #polqc
4448,4448.jpg,4448.txt,positive,We're #hiring! Read about our latest #job opening here: Retail Sales Consultant... -
3081,3081.jpg,3081.txt,negative,#elxn42 Blue parrot made G&M ed. cartoon w/right wing wizard of Oz.
16420,16420.jpg,16420.txt,positive,The beginnings of something sweet!!!?????? #greekbakery #seranobakery #Toronto #bakery #dessert #cakes #cookies #bread
16626,16626.jpg,16626.txt,positive,2015 #Toronto Book Awards finalist: for All the Broken Things by
9585,9585.jpg,9585.txt,positive,Luke is waiting for us too win #ShesKindaHotVMA
9926,9926.jpg,9926.txt,negative,#Fracking involves shooting over 750 #chemicals into #earth. If it sounds like a bad idea It usually is #cdnpoli
21203,21203.jpg,21203.txt,negative,Looks like I'm going alone ????
17154,17154.jpg,17154.txt,negative,Last year's Vancouver Zombie Walk! Damn. I love freaks. #Vancouver #VancouverZombieWalk
14706,14706.jpg,14706.txt,positive,The party begins! #BearBachelorParty #casinolacleamy
17328,17328.jpg,17328.txt,negative,DRiving in #Vancouver yesterday was dangerous yesterday because drivers treated dead lights like green lights!
4309,4309.jpg,4309.txt,positive,"We're #hiring! Read about our latest #job opening here: QA Tester - #Montreal, QC #IT"
9545,9545.jpg,9545.txt,negative,STEP YOUR FUCKING GAME UP #ShesKindaHotVMA
19762,19762.jpg,19762.txt,positive,Bow River Basin Council - Edctionl Forum - Sept 09 #yyc #bowriver
22222,22222.jpg,22222.txt,positive,"You are spreading lLOVE to the world no wonder how Blessed you ere,, #ALDUBMaiDenHeaven"
9590,9590.jpg,9590.txt,negative,when my friends say I'm crazy but I'm really just trying to help win this???? #ShesKindaHotVMA
13875,13875.jpg,13875.txt,negative,#Forest #Tattoo by at #AlbanyModernBodyArt. #Blackwork #BlackBoldSociety #AlbanyNY #DowntownAlbany
15197,15197.jpg,15197.txt,positive,I love this place #LetsGoToTheEx #Toronto2015 #CNE
2993,2993.jpg,2993.txt,negative,"Wiliam Moughrabi, another candidate Conservatives keep hidden? #cdnpoli #elxn42 #cdnpoli"
6516,6516.jpg,6516.txt,positive,A little . Soul to wake things up this morning #boogiemusic
6548,6548.jpg,6548.txt,positive,dropped into 4Rmusicretreat on the way home #music #chilled #cottagelife
12533,12533.jpg,12533.txt,negative,"A juvenile Bald Eagle in flight over Cootes Paradise, Hamilton #HamOnt #Ontario #baldeagle #birds"
10766,10766.jpg,10766.txt,positive,Canada day throw back #Calgary #Canada #Carnival2015
9457,9457.jpg,9457.txt,negative,"I nEed a break, my phone is burning like #ShesKindaHotVMA"
9507,9507.jpg,9507.txt,negative,Let's win this for these losers #ShesKindaHotVMA
14165,14165.jpg,14165.txt,positive,Our class bulletin board is ready! #kindergartenrocks
2908,2908.jpg,2908.txt,negative,If abortion is a settled issue in #Canada than why people get upset with images of abortion? #elxn42 #teamtrudeau
11423,11423.jpg,11423.txt,positive,My new Brass Monkey wearing a fez business card holder. I think this is just about perfect. Beck Antiques 124st #yeg
11865,11865.jpg,11865.txt,positive,come run with me and my boyfriend! OCT 4 #micCares #yeg
3251,3251.jpg,3251.txt,negative,Black votes matter: righting wrongs can start at ballot box: #cdnpoli #elxn42
17871,17871.jpg,17871.txt,positive,Thank you for an amazing night! #Edmonton & #Calgary - you're next!
15954,15954.jpg,15954.txt,positive,Ready for #toronto #YYZ #CityChase #urbanadventure
12241,12241.jpg,12241.txt,negative,10 Things You Need to Know Before Pitching the #Media #YegMarketing #Yeg
11471,11471.jpg,11471.txt,negative,Homicide detectives on scene at suspicious death on 95 St. Road blocked off between 117 Ave. & 118 Ave. #yeg
8347,8347.jpg,8347.txt,positive,Missing my little model dog right now!! #NationalDogDay
20794,20794.jpg,20794.txt,negative,#SelfieForNash ???? not the best pic but doing this just for you
11080,11080.jpg,11080.txt,negative,If abortion is a settled issue in #Canada than why people get upset with images of abortion? #HarperAFolkSong #cbcott
20235,20235.jpg,20235.txt,positive,Great to get a run in before a busy week. This is pretty inspiring! #betterispossible #ottawacentre #lpc
22845,22845.jpg,22845.txt,negative,was a fun time #LOTW
19538,19538.jpg,19538.txt,negative,The cost of a barrel of oil is $42.80. That same barrel of milk would cost $379.21. #yyc #recession
19011,19011.jpg,19011.txt,negative,More madness ??... #yyc
3708,3708.jpg,3708.txt,positive,The word is out: Tom Mulcair will have to make cuts and break promises to eliminate the deficit in 6 mths #elxn42
9922,9922.jpg,9922.txt,negative,"One fact: Harper is No. 1 among PMs for lies, propaganda spending and destroying Canada's intl reputation #cdnpoli"
14740,14740.jpg,14740.txt,positive,Gorgeous #beforeandaftermakeup by Lead #mua Megan from this past Saturday #TeamTLMUA #makeupArtist
19566,19566.jpg,19566.txt,negative,That can't be a background from this week not enough smoke! #yycsmoke #tsn
12102,12102.jpg,12102.txt,positive,Wedding set up at yesterday. #yegwedding #weddingdecor #madeinyeg2015
9518,9518.jpg,9518.txt,positive,RT this if you are NOT luke hemmings #ShesKindaHotVMA
11384,11384.jpg,11384.txt,positive,Blue Sky Miners just took to the stage. We are giving away 2 sets of tix to Sonic Boom. #ontherocksedm #yegevents
7983,7983.jpg,7983.txt,positive,"Hahaha, too cute cheerleader wig for your dog, your most loyal cheerleader! #NationalDogDay"
8194,8194.jpg,8194.txt,positive,#NationalDogDay I miss you everyday ??
11443,11443.jpg,11443.txt,negative,The BigBoot #yegfringe will point you to for an late night cabaret stay up late for Big Kids
13081,13081.jpg,13081.txt,positive,Fresh batch of salted caramel almond cheesecake ?? ?? do we need to say any more? #hamont #vegan
7210,7210.jpg,7210.txt,positive,“: #Beethoven - Complete Symphonies #Furtwängler #Musica #Arte #Cultura
13903,13903.jpg,13903.txt,positive,Rainy #yvr day = opportunity to bust out the #tartan pants! #winwin #glasshalffull
8316,8316.jpg,8316.txt,positive,Happy #NationalDogDay to my best friend ????
22016,22016.jpg,22016.txt,positive,UF freshman left tackle Martez Ivey not ruled out for Gators' opener:
12770,12770.jpg,12770.txt,negative,Does anyone know who this kid is? He was witnessed stealing the trailer !! #HamOnt #OnlyinHamilton #OnlyinHamOnt
17027,17027.jpg,17027.txt,negative,"ShawOpen is the biggest pain in the ass in #Vancouver. Randomly connects, cuts out streaming music. Forget network."
19159,19159.jpg,19159.txt,positive,Bugs are healthier! 12.9 grams of protein per 100 grams of crickets! #socent #yyc
22644,22644.jpg,22644.txt,negative,MFW hearing Queen-Tech n9ne-Bubba Sparxxx-Eminem-Proof-Dragonforce-CCR in that order
12795,12795.jpg,12795.txt,positive,**NEW VIDEO** 2016 photo book #HeartofTurtleIsland #NiagaraEscarpment by #MarkZelinski #HamOnt
14540,14540.jpg,14540.txt,positive,Face by Giuliano Bekor now at Weiss Katz gallery. #art #photography #limitededition
20241,20241.jpg,20241.txt,negative,"Live music, dancing and beers flowing - a great Friday night in #Ottawa!"
8972,8972.jpg,8972.txt,negative,vote for fetus #ShesKindaHotVMA ??
19100,19100.jpg,19100.txt,positive,Out with some interesting looking machines today as the one year anniversary of Snowtember draws near. #yyc
3456,3456.jpg,3456.txt,negative,on drowning death of Syrian toddler off Turkey. #cdnpoli #elxn42
20871,20871.jpg,20871.txt,negative,Only bc I'm feeling fierce?? #SelfieForNash
3971,3971.jpg,3971.txt,positive,"#Nursing #Job in #Buffalo, NY: RN | Registered Nurse |... at Supplemental Health Care"
15375,15375.jpg,15375.txt,negative,Selfies+Texting+Driving=Disaster #Toronto
9560,9560.jpg,9560.txt,negative,YOU GUYS NEED TO STALK THEIR HASHTAG TO KNOW THIS SHIT #ShesKindaHotVMA #5SOSFAMVOTEATTACK
16256,16256.jpg,16256.txt,positive,"#antaplumbing is open all long weekend, 24/7 for all your plumbing needs. #open #LabourDay #toronto"
9257,9257.jpg,9257.txt,negative,Technically I'm in the band #ShesKindaHotVMA .. a little bit bloody but I made it
